Thickness_mm,Hole_Radius_mm,Load_Force_N,Max_Von_Mises_Stress_MPa,Max_Deflection_mm
1.9363502971184063,4.094485142059235,1740.5317153544786,7983.617023247115,599.467442976283
3.37678576602479,3.608289099032361,3167.6037895134327,5369.907514281295,205.65316812096935
2.8299848545285125,2.928582848858983,4491.783343505633,10386.73779536219,495.2453923664477
2.4966462104925915,4.4413850591208455,3928.899545638245,11398.303273861717,631.099874982089
1.3900466011060912,4.054193517661638,4226.2445914457985,35096.09830794563,3933.8778903061407
1.3899863008405067,2.4878508180346737,3635.1334668428694,30185.48401886087,3383.985675790818
1.1452090304204987,4.732781553481527,3769.1062580714097,44356.91553296504,6273.605133746931
3.165440364437338,4.467611728769507,4396.782606261277,8344.336704551602,346.50486125161507
2.502787529358022,4.849399739875772,1998.6720354367437,5811.19016445699,318.8042681648761
2.7701814444901136,4.17715852516508,2957.699854572562,7142.504965945837,347.8866148952266
1.0514612357395061,3.8402455878073694,1884.837767278409,25880.64776015417,4053.513517165908
3.4247746304049858,3.2547291088718566,4950.672031986588,8139.209474618621,308.0750046401913
3.0811066020010545,4.798185450062039,4776.2373587464535,9509.693191023805,408.191594277476
1.5308477766956905,4.598191668501225,1157.7072454740237,8123.729349494608,806.6647483358545
1.4545624180177517,2.135656010318568,3822.300690062754,29229.591433611462,3105.2056208591043
1.4585112746335844,2.079100923491756,4700.993269662664,35770.84750107299,3787.8831265705585
1.7606056073988443,3.129390100634149,1722.3013805093342,9361.81707580228,789.0961238622081
2.3118910790805947,4.431659992345499,3271.780922210518,10910.297529366655,662.0974529119399
2.0798625466052894,4.961828387944833,4661.953190352167,18769.900391297822,1295.5001931422246
1.7280728504951048,2.4512506733105845,1135.7839143431954,6388.558223570472,550.1935723574409
2.5296322368059485,3.7823921460564054,3789.6810689873596,10741.530391582639,585.3295718466545
1.3487346516301046,3.1426725698930644,2189.396029490203,19211.394678352543,2230.921645447851
1.7303616213380453,4.909743193443809,4697.5847815061215,26325.00754829734,2266.661660069332
1.9159046082342293,4.526356769407126,4884.232980661471,22777.259721999555,1736.2923336425308
2.14017496054259,4.514986114133413,4777.065956453735,18264.84486949822,1218.179756925053
2.962939903482534,3.406079479384911,2896.856866629855,6196.1724936431065,278.5375422874076
1.4991844553958993,3.2444585070129954,4448.170603957254,32224.954340214008,3300.2749187222216
2.285586096034029,2.8202212157921185,4378.197594140282,14864.420541905069,916.752578278078
2.481036422155106,2.1691264899527813,2276.4018929730228,6681.519695000499,372.6683768298964
1.1161260317999944,4.594167128765159,4315.661896602709,53169.89425681743,7759.7237517838985
2.518862129753596,4.438703027390233,1148.0305388619704,3318.7431978587283,179.64788707892498
1.4263103092182288,4.999153019858392,3385.0795139282122,26849.6236571771,2916.4850038082177
1.1626289824631988,4.989910511221716,1920.0353491508122,22015.56182609567,3054.486335059791
3.3722138431333333,3.6662951168078823,1482.2675431091152,2538.8722260969853,96.49747298532196
3.4140800826863984,4.3069622455415315,1307.8128065168366,2195.2325847674983,82.17340451637068
3.0209933702911527,4.834297189647284,3785.155103512559,7820.993527600712,343.41530381844905
1.7615344229334267,4.548942172032234,2359.499855072265,12827.908525590898,1079.0617589098783
1.2441802850159598,2.742044305229593,3899.0670861150456,39505.20099451877,5061.100420945407
2.710582566280392,3.3516324059302804,1261.4253631957695,3185.0317012684513,158.39977837963687
2.1003812343490034,2.387478245454485,2261.161351322441,8953.854684132519,610.0844530191836
1.3050955871119472,4.862153081776167,3157.965169501349,29391.021955774253,3551.605078457061
2.2379422752781757,3.81852390335264,4162.8926593558535,14691.005968531643,928.5631841215334
1.085971302788046,2.685928416510388,2275.0100117282796,29450.056846131232,4440.935658877273
3.2733010051969553,4.01510205321757,3503.5655057480362,6268.555311163371,249.85344935115887
1.6469499540000423,3.8543847213736875,4543.910992944749,27811.412055536737,2542.937090000865
2.656305710884955,3.0744881540985216,3463.4527527292184,8988.683587505646,461.94729383039066
1.7792776902235274,2.340672776598887,1931.8378990145352,10295.826245693921,857.4593829970419
2.300170052944527,4.014719586778399,1097.6031262261522,3720.8044969439907,225.66868155691907
2.3667756983581993,3.5609231027113797,4480.39549560372,14289.326634813895,844.8473350886825
1.4621361388138177,4.3169551752069175,1085.0776434015486,8274.916674761082,867.7380035632656
3.4239615694113965,3.56049050333598,4498.8066907367975,7399.198086475191,280.2994598705087
2.9378320584027864,4.556544500955621,3115.748536108848,6768.674494803144,307.1881740824231
3.348747353910473,3.6557205163234565,4756.270794051585,8141.8531927114245,316.4181064782223
3.237068376069122,3.6828139146061587,4195.132943094662,7644.295145826361,309.27807291656416
2.494749947027713,4.629960807975035,4991.73644213335,14498.310495491764,803.6772266691074
3.304685587557792,3.210448598637191,2402.847261806841,4236.396227308865,166.43785586474246
1.2212312551297988,2.402045685351922,4068.7531557245075,42616.31248711962,5584.833124134498
1.489957156047863,2.0863480289400167,2607.723654436969,19109.139848932355,1970.990048474896
1.113068222276345,4.265411767020857,2919.5024812156353,36159.78608036784,5292.846838136209
1.813325826908161,3.8609286540603938,3510.0218528734804,18093.236622340813,1471.6666093349727
1.971693224223705,4.11223930429767,4494.708456745355,19908.106880513635,1466.0159803553922
1.6783725794347397,2.6388924845267323,4936.33387679718,29187.11913211539,2610.20783980679
3.0718437728798236,2.4091144267603095,4073.0936554580726,8136.037177804845,351.36488710217725
1.8918833167339733,2.0436339970036457,2671.067128669335,12743.052804021952,986.2087891366116
1.7023362742184518,3.051762676419791,2685.428009108281,15496.18055019321,1360.7790334061651
2.356740207895621,3.7697530605638994,3950.329206355566,12708.371176595048,754.5719774577739
1.3523105624369065,3.176732135299197,1955.1085830732095,17072.649942210708,1976.3770093022633
3.0054924518850994,3.312424766071187,1441.8964525255788,3022.8653954915335,132.85912206511563
1.186376609199427,4.712476083481246,2418.488630563106,26732.085010005532,3620.9350732210933
3.4672173415012932,3.044766401069901,2148.955966616327,3485.9617731559156,129.07533291061497
